datetime,energy,p54.162.13,p55.162.13,cape.13,p59.162.13,lai_lv.13,lai_hv.13,u10n.13,v10n.13,sp.13,stl1.13,u10.13,v10.13,t2m.13,stl2.13,stl3.13,iews.13,inss.13,stl4.13,fsr.13,flsr.13,u100.13,v100.13
2/1/05 18:00,402.71,2510823.98,9.186294869,13.52757742,1386936.819,2.344111108,2.4329833845397904,-0.7575873,-1.922798503,99846.31991,280.9606609,-0.906454192,-2.709511252,280.47309831457994,281.0420263,281.462478,-0.0579582,-0.13864974,284.68475480418897,0.40473106243654794,-5.927091606,-1.780561877,-4.443616842
3/1/05 00:00,696.8,2513173.482,8.849568685,6.896412019099669,1153526.36,2.343718815,2.432838139,-1.412619561,-1.403010724,99917.73309344151,279.2966508,-1.653843411,-1.641837127,278.2866158,280.7474065,281.4865414,-0.10357566,-0.083050419,284.6679479,0.404919627,-5.913881001,-3.743343658,-3.129468955
3/1/05 06:00,1591.15,2509626.637,7.924079815446019,4.77443909,1098753.66,2.3433003687035296,2.432704066,-2.290185356,-0.754579815,99764.37868087449,278.2339557,-2.580355932,-0.793681534,277.20649,280.1148631,281.4870946,-0.165721186,-0.036240696,284.65191378071097,0.4057036571629529,-5.908272289,-5.097202733,-1.157748207
3/1/05 12:00,1338.62,2510570.956,6.922708989026471,0,1076021.199,2.342829617,2.43251413,-3.497854881,1.271027947,99672.67046,280.7872631,-3.365261736,1.227558825,280.9265996,279.9911382,281.4724353,-0.275550179,0.098192467,284.636266,0.403966881,-5.961995414,-4.500835134,1.502478268
3/1/05 18:00,562.5,2505664.112,6.64628186,0,1070830.323,2.342437323,2.432368884,-0.971249064,0.553060211,99372.81121,279.583112,-2.242706669,1.3207933201124098,277.36387473314204,280.5768981,281.473265,-0.056553315,0.041843645,284.6202319,0.40380809,-5.987860387,-3.392323782,2.131113931
4/1/05 00:00,232.3,2505768.032,6.12594844,0,1094099.77,2.34204503,2.432234812,-0.153567709,1.5540428311367198,99257.76369014471,276.62013968183203,-0.243661194,2.381509646,274.8509646,279.6547613,281.46469069177004,0.003360921,0.14438896145146202,284.603425,0.40475752759917205,-5.957545526,0.190589976,5.349628745
4/1/05 06:00,329.95,2503477.267,7.038564477,0,1264503.726,2.3416527363090296,2.432089566,1.247802101,1.67677533,99277.55136,276.1400003,1.6476160522135401,2.387075885,275.490996,278.7121324,281.4160106,0.115503844,0.14438896145146202,284.58565218627996,0.40600139024246507,-5.957197879,4.10516782,4.612229133320611
4/1/05 12:00,960.51,2504995.407,7.938307682397849,0,1247857.121,2.341208137,2.431944321,2.582633645,2.243500468,99412.89392,279.7286241,2.5344051303863195,2.210347812,281.785221,278.5741019,281.3493521,0.177566729,0.20182796608255102,284.567493,0.405071801,-5.981510027,3.3874341832205896,3.809970287
4/1/05 18:00,194.62,2503739.327,8.447123305,0,1525479.531,2.3408158436642004,2.431810248,1.169065153,2.014376624,99373.57227465551,280.1088824,1.521457341,2.8073268924899604,280.6234882,279.5387692,281.3097995,0.085340125,0.12653721861238099,284.5508793,0.4054125403740971,-5.995207338,3.280715771,4.545374229
5/1/05 00:00,358.51,2505664.112,8.417990054,0,1620168.283,2.340397397,2.431665002,0.80827989,1.977174422,99518.93551,278.2714745,1.042936979,2.9569195524764598,277.9642685,279.5194372,281.28850199032996,0.063357798,0.111138387,284.5350384,0.40713939223526396,-5.965170594,3.136332036,4.321859327
5/1/05 06:00,808.8,2500987.699,8.874636831,0.22735424238794602,1857516.65,2.3400051039145295,2.431519757,0.8515297626147671,2.315123399,99417.96768,276.9441197,1.045143837,3.0727668914892696,276.2406138,278.9924466,281.2555876,0.080299065,0.175527307,284.5172656,0.41101653855957104,-5.905954639,2.8894149252946097,5.673426003457791
5/1/05 12:00,93.36,2500978.662,10.3970186,0,1933589.844,2.3396128104872598,2.4313856841767203,2.161963943,3.651273524,99570.1805,280.5672204,2.095240402,3.5243279907043497,283.0495453,278.95842225627996,281.21050322454397,0.222440426,0.312685926,284.4992996,0.40826416164675294,-5.957197879,3.140517072,5.0916885560765195
5/1/05 18:00,155.94,2502984.776,14.28461386,0,1705191.265,2.339220517,2.4312404386891697,1.6392688987263602,1.8864288627096297,99594.91507856731,281.13912876365396,2.2202956850277404,2.6052028565547003,282.0393682,280.116023,281.1975034,0.12475956,0.103711517,284.48287910104096,0.406649787,-5.992843335,3.96549225,3.8653500949588997
6/1/05 00:00,0.01,2510078.465,16.59901355,0.30313898985059495,1400182.505,2.338749765,2.431050502,0.41829172060501396,2.072787558,99712.49948,280.0774477,0.43825790661748104,2.531798086,280.3769187,280.3124362,281.2071841,0.036830254,0.12497008088223201,284.4652995,0.4104673864351379,-5.919350655,2.0157887060336996,4.9275447994826695
6/1/05 12:00,4.85,2519060.792,14.546135605313802,0,1099111.651,2.3378867194073103,2.430782357,-0.319913373,2.8081395,99769.32559740891,282.1795153,-0.283384636,2.608333866,284.2998799,280.2254422,281.2232264,-0.029447288,0.156517245,284.430913,0.4092599133904529,-5.943662803,-0.510926647,3.880317611
7/1/05 00:00,218.76,2516151.024,10.96477824,0,1432043.749,2.337102133,2.430503039,-0.035647115,0.8301644653053241,99494.45462,278.0798244,-0.380118576,2.264618638,276.04883753784196,280.5973901,281.2926509,-0.004737831,0.04497792,284.398072,0.4094981,-5.934693498,0.614847978,2.858535199
